                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.85746,                0.54727,                0.92939,                0.93468,                0.49716,                0.94912,                0.90432,                0.94519,                0.97681,                0.78097,                0.78252,                0.54363,                0.91534,                0.79893,                0.44467,                0.91452,              0.0015644,              0.0015644,              0.0015644
                     25,                 0.8829,                0.56727,                 0.9646,                0.95868,                0.47508,                0.98277,                0.85426,                0.92808,                0.95878,                0.73036,                 0.8077,                0.53573,                0.92928,                0.89529,                0.49228,                0.94558,              0.0015446,              0.0015446,              0.0015446
                     26,                0.89656,                0.56339,                0.94634,                0.97729,                0.45105,                0.96859,                0.90849,                   0.95,                0.97468,                0.75147,                0.86242,                0.59223,                0.92736,                0.86884,                0.46273,                0.93196,              0.0015248,              0.0015248,              0.0015248
                     27,                 0.8896,                0.55083,                0.92844,                0.96602,                0.44405,                0.96022,                0.90646,                  0.925,                0.97701,                0.77196,                 0.8093,                0.51574,                0.89105,                0.81784,                0.43938,                0.89146,               0.001505,               0.001505,               0.001505
                     28,                0.85196,                0.53287,                 0.9259,                0.95113,                0.44721,                0.95834,                0.98196,                0.90729,                0.98625,                0.78727,                0.73371,                0.43683,                0.88043,                0.78296,                0.35338,                0.87527,              0.0014852,              0.0014852,              0.0014852
                     29,                0.83559,                0.51658,                0.93495,                0.94217,                0.45698,                0.96111,                0.96583,                0.94218,                 0.9881,                0.76717,                0.76894,                0.42928,                0.88607,                0.89459,                0.32599,                0.89508,              0.0014654,              0.0014654,              0.0014654
                     30,                0.81821,                0.50522,                 0.9174,                0.91755,                0.43365,                0.94574,                0.98269,                0.94612,                0.98769,                0.77517,                0.77097,                 0.4733,                0.90311,                0.83746,                0.35597,                0.92325,              0.0014456,              0.0014456,              0.0014456
                     31,                0.82727,                0.48955,                0.91265,                0.92652,                0.39457,                0.94742,                0.95367,                  0.975,                0.98923,                0.79919,                0.72952,                0.42687,                0.87881,                 0.7515,                0.30748,                0.87922,              0.0014258,              0.0014258,              0.0014258
                     32,                0.81405,                0.47575,                0.91451,                0.87585,                0.39306,                0.93665,                0.91749,                0.98333,                0.98922,                0.77904,                0.79131,                0.44581,                 0.9157,                 0.8244,                0.37445,                0.91095,               0.001406,               0.001406,               0.001406
                     33,                0.82699,                0.50982,                0.92655,                 0.9145,                0.40529,                0.95484,                0.94994,                0.94876,                0.98648,                0.75909,                0.80143,                0.46809,                0.91446,                0.83976,                0.36985,                0.91403,              0.0013862,              0.0013862,              0.0013862
                     34,                 0.8306,                0.49877,                0.93419,                0.91751,                0.40074,                0.96441,                0.94983,                0.94658,                0.98676,                0.79029,                0.73488,                0.44534,                0.89207,                0.78451,                0.37974,                0.91195,              0.0013664,              0.0013664,              0.0013664
                     35,                0.81618,                0.48885,                0.91937,                0.87604,                0.42125,                0.95089,                0.93292,                0.92715,                0.98265,                0.78718,                 0.7784,                0.44489,                0.90674,                0.78943,                0.38734,                0.89911,              0.0013466,              0.0013466,              0.0013466
                     36,                0.80245,                0.47679,                0.91837,                0.88392,                0.41325,                0.95684,                0.91828,                  0.975,                0.98183,                0.78548,                0.76929,                 0.4667,                0.89247,                0.79241,                0.38743,                0.89757,              0.0013268,              0.0013268,              0.0013268
                     37,                0.78316,                 0.4764,                0.90446,                0.83816,                0.39657,                0.92796,                0.94117,                 0.9333,                0.97947,                0.77255,                0.77273,                0.40244,                0.90054,                0.79844,                0.36815,                0.92077,               0.001307,               0.001307,               0.001307
                     38,                0.81457,                0.47683,                0.93158,                0.88003,                0.39731,                0.96129,                0.89936,                0.96808,                 0.9809,                0.79366,                0.73038,                0.43178,                0.88896,                0.75241,                0.36647,                0.88058,              0.0012872,              0.0012872,              0.0012872
